Sample	Latitude	Longitude	initial_RPM	final_RPM	count_RPM	difference_RPM	biomass_dry	bag_wt_tare	dry_bag_wt
83	41.302575	-105.64068	80841	80879	2	19	16.49	10.32	26.81
84	41.302496	-105.640639	80879	80918	2	19.5	14.13	10.32	24.45
85	41.302459	-105.640629	80918	80949	2	15.5	12.62	10.32	22.94
86	41.302404	-105.640653	80949	80979	2	15	15.5	10.32	25.82
87	41.302377	-105.640591	80979	81007	2	14	15.47	10.32	25.79
88	41.302337	-105.640564	81007	81038	2	15.5	13.06	10.32	23.38
89	41.302284	-105.64054	81038	81070	2	16	13.62	10.32	23.94
90	41.302224	-105.640546	81070	81097	2	13.5	11.57	10.32	21.89
91	41.304036	-105.640844	81256	81344	3	29.3	28.1	10.32	38.42
92	41.303922	-105.640859	81397	81457	3	20	18.92	10.32	29.24
93	41.303773	-105.640844	81457	81504	3	15.7	14.28	10.32	24.6
94	41.303663	-105.641069	81504	81580	3	25.3	28.64	10.32	38.96
95	41.303471	-105.640943	81584	81640	3	18.7	29.14	10.32	39.46
96	41.303557	-105.641285	81641	81717	3	25.3	21.8	10.32	32.12
97	41.303577	-105.641509	81717	81768	3	17	20.42	10.32	30.74
98	41.303512	-105.641673	81768	81830	3	20.7	15.67	10.32	25.99
99	41.303481	-105.641821	81830	81916	3	28.7	19.4	10.32	29.72
100	41.303511	-105.6421	81916	82022	3	35.3	30.59	10.32	40.91
101	41.303306	-105.64196	82022	82093	3	23.7	29.67	10.32	39.99
102	41.303161	-105.641883	82093	82189	3	32	55.07	10.32	65.39
103	41.303053	-105.641623	82189	82258	3	23	34.56	10.32	44.88
104	41.302882	-105.641627	82258	82367	3	36.3	54.66	10.32	64.98
105	41.303118	-105.641752	82367	82455	3	29.3	38.4	10.32	48.72
106	41.302665	-105.641357	82457	82565	3	36	36.77	10.32	47.09
107	41.302523	-105.641215	82565	82649	3	28	38.81	10.32	49.13
108	41.302497	-105.641165	82649	82750	3	33.7	49.79	10.32	60.11
109	41.302377	-105.640996	82754	82821	3	22.3	31.85	10.32	42.17
110	41.302262	-105.640924	82821	82897	3	25.3	25.11	10.32	35.43
